"gene","log2FC","pval"
"ENSG00000170166",-3.24249362739296,0.185970668827947
"ENSG00000175189",-2.91106627157971,0.361349874179034
"ENSG00000150244",-5.71838337328811,0.381676048288634
"ENSG00000249362",-2.8802607557259,0.115175378347227
"ENSG00000143869",-3.05159173243727,0.30623728762741
"ENSG00000169297",-5.09392107405349,0.196404262348801
"ENSG00000215612",-5.27910681233077,0.17448247617426
"ENSG00000204963",-3.33173126991772,0.282340095683747
"ENSG00000108688",-3.08119608284798,0.31531865430229
"ENSG00000198028",-5.21976120586901,0.177172048199001
"ENSG00000273100",-3.38082178394093,0.329242358166211
"ENSG00000186493",-4.84162482414235,0.103205636762384
"ENSG00000230699",-3.18043265926071,0.272649644326232
"ENSG00000081842",-3.16272950003811,0.379870086527123
"ENSG00000287200",-4.21244961808887,0.376076788235416
"ENSG00000234354",-4.2228877672781,0.354617084421849
"ENSG00000170561",-5.95282687977538,0.0773034302800764
"ENSG00000287893",-3.28876123095216,0.401728288003487
"ENSG00000260577",-4.18784690943957,0.149843527188365
"ENSG00000163736",-3.58496250072116,0.168039037364126
"ENSG00000271551",-3.62780550172689,0.323032084199586
"ENSG00000204791",-3.68716736104806,0.359360738831221
"ENSG00000286478",-4.94753258010586,0.300457550182356
"ENSG00000179873",-3.24969227823965,0.215322867348437
"ENSG00000257443",-4.22322322760236,0.389149151875889
"ENSG00000196109",-3.14159627838382,0.229053512497695
"ENSG00000237863",-3.6566234858486,0.368678995732983
"ENSG00000229676",-3.89481776330794,0.154243205101569
"ENSG00000246528",-3.98489310760979,0.224966124382948
"ENSG00000148346",-3.34759297828071,0.364122045503644
"ENSG00000223528",-8.53766641929098,0.374724644580532
"ENSG00000180458",-3.26470322619441,0.284833045284645
"ENSG00000166926",-4.85581641101425,0.377579267899764
"ENSG00000136944",-4.62449086490779,0.153262195386228
"ENSG00000118113",-3.10619940383192,0.202908705454234
"ENSG00000261754",-4.39827898101748,0.196354816518833
"ENSG00000229654",-6.23019203190457,0.367822265612914
"ENSG00000131355",-4.25514100367616,0.312457452005905
"ENSG00000185275",-6.31218482072397,0.360273867135905
"ENSG00000171956",-3.36340473086352,0.113042816860147
"ENSG00000183032",-3.41307598294556,0.186271274976638
"ENSG00000197472",-3.84482962747627,0.12244653943603
"ENSG00000133124",-5.19967234483636,0.372211617740863
"ENSG00000237210",-3.38466385023533,0.414577161016053
"ENSG00000287340",-3.62205181945638,0.133518440821185
"ENSG00000288041",-3.83920378809694,0.299238188353498
"ENSG00000174450",-3.67807190511264,0.362514297035238
"ENSG00000261711",-4.14295795384204,0.360183612008627
"ENSG00000236816",-3.77760757866355,0.108110291056197
"ENSG00000162892",-4.48308288670194,0.312484920625203
"ENSG00000287209",-3.82312223791592,0.381534593467463
"ENSG00000271234",-4.64961545906341,0.360610273886221
"ENSG00000204936",-5.93073733756289,0.361931625044321
"ENSG00000174697",-3.91488338636205,0.287444474209551
"ENSG00000129514",-5.57742882803575,0.363015307944344
"ENSG00000187185",-4.33091687811462,0.36530964806135
"ENSG00000124557",-4.19967234483636,0.35591233837479
"ENSG00000184895",-4.21916852046216,0.324384809137067
"ENSG00000264956",-4.30116953472057,0.384561231998013
"ENSG00000236054",-5.08037341646402,0.359599577531428
"ENSG00000285534",-3.6724253419715,0.341866584577372
"ENSG00000262539",-4.15650448567999,0.362222085195158
"ENSG00000235142",-7.89481776330794,0.374205231788352
"ENSG00000178919",-5.6724253419715,0.328086900575867
"ENSG00000253187",-3.82442843541655,0.326856439328989
"ENSG00000253308",-4.18586654531133,0.337306690780337
"ENSG00000287867",-5.25738784269265,0.172363475273864
"ENSG00000230635",-3.96347412397489,0.130039105898927
